Sample_Num,PPG_Sensor1_Raw,PPG_Sensor2_Raw
0,16777641,3170893904
1,1677722026,1006633120
2,536871337,3137339514
3,2113929642,3170926651
4,503316906,3187671162
5,1275068841,3187671200
6,201327017,3137374336
7,4211081641,3204448506
8,1577058729,3170893946
9,2281701801,3170893924
10,3271557546,1006633120
11,2063597993,3137339392
12,2214592938,250
13,1124073897,1023443003
14,1962934697,3187671256
15,2684354987,3137380480
16,1275068842,3204448506
17,738197931,3170894074
18,1191182762,3170893940
19,1761608106,1006633112
20,3053453738,3137339514
21,184549802,3170893946
22,1325400490,1040187642
23,2969567658,3170894008
24,1862271402,3137370240
25,2449473962,3204448378
26,1124073897,3170894074
27,4026532266,3170893920
28,570425770,1006633088
29,973078953,3137339392
30,3506438569,250
31,4227858858,1023410298
32,1426063785,3170893992
33,3858760105,3137372288
34,3506438570,3204448256
35,2365587882,32827
36,2902458794,3187671132
37,1040187818,1006633104
38,973078953,3137339392
39,3321889194,122
40,100663722,3170926651
41,1879048618,3187708032
42,570425770,3204448378
43,1962934698,3170893946
44,3489661354,1023410236
45,285213098,1006633072
46,939524521,3137353856
47,4060086698,3204448506
48,2701132201,1023426716
49,436208043,3187671152
50,973078954,1006651520
51,3439329706,3204448506
52,570425770,3170934796
53,603980202,1056964708
54,1946157482,1006633104
55,2214592938,3137372288
56,2466251178,3204464796
57,788529578,1040187514
58,956301738,3187671116
59,503316905,1006665856
60,2852127146,3204448506
61,251658665,1040187514
62,3388998058,3170893888
63,1476395433,1006647424
64,3019899305,3204448506
65,2902458793,3170926779
66,2281701802,1040187496
67,2348810666,1006633184
68,1962934698,3137370240
69,1543504297,3204497626
70,2835349930,1040220347
71,1644167593,3187671120
72,3758096810,1006657664
73,2298479017,3204448378
74,3808428457,3170893946
75,2415919530,1040187496
76,1627390378,1006633040
77,1275068842,3137366144
78,1459618217,3204481083
79,3355443625,1040187514
80,3841982890,3170893968
81,1140851114,1006655616
82,2315256233,3204448378
83,3321889193,3170893824
84,922747305,76
85,2264924587,1006633024
86,150995369,3137368192
87,3774874025,3204448506
88,1711276457,1023410298
89,3170894249,3187671120
90,3103785385,1006633210
91,3657433513,3170894074
92,3925868970,1023410426
93,419430826,3170894024
94,3892314538,3137362048
95,2499805610,3204448506
96,1291846057,3170893952
97,3909091754,1006633008
98,1107296682,3137382528
99,2298479017,3204464796
100,553648553,1040203932
101,3439329706,3187671178
102,167772586,1006657664
103,1073742249,3204448378
104,3976200618,3170926651
105,285213097,1040187464
106,3472884137,1006633112
107,1040187818,3137382528
108,1392509353,3204448378
109,3254780329,1040220219
110,3623879081,3187671132
111,1140851113,1006633082
112,704643497,3187671290
113,1493172649,1023443003
114,2516582825,3187671208
115,3959423402,3137374336
116,1493172648,3204448506
117,3992977833,3170893924
118,2751463849,1006633128
119,2466251178,3137378432
120,754975145,3204448378
121,2650800553,3170926651
122,452985257,3187671156
123,3422552490,1006667904
124,3825205674,3204448506
125,3087008171,3170893824
126,704643499,124
127,2097152427,1006651520
128,2197815723,3204481083
129,771752362,3187671290
130,2466251178,1023410256
131,973078955,1006633176
132,16777643,3137357952
133,4143972778,3204448378
134,1040187818,1023443003
135,4060086699,3187671132
136,3607101866,1006651520
137,2868904363,3204448378
138,2382365098,3170894074
139,3539993004,1023410272
140,620757418,1006633112
141,3456106923,3137362048
142,2298479019,3204448506
143,3204448683,1023443003
144,771752363,3187671170
145,1946157483,1006657664
146,1828716971,3204448378
147,1442841003,3170893824
148,922747307,128
149,2885681578,1006633096
150,1929380267,3137388672
151,2248147371,3204481083
152,1493172651,1040187476
153,50332075,1006633152
154,687866283,3137368192
155,3087008171,3204481083
156,2583691691,1040220347
157,654311851,3187671168
158,1375732139,1006665856
159,1694499243,3204448378
160,3087008171,3170926651
161,2231370154,1040187520
162,4009755051,1006633024
163,3774874026,3137376384
164,3170894251,3204448378
165,402653611,1023410426
166,637534635,3170893932
167,427,1006633082
168,1073742251,3187671162
169,671089067,1023410298
170,905970091,3170893992
171,1476395435,3137362048
172,1845494187,3204448378
173,83886507,3170894074
174,1358954923,3170893912
175,4261413291,1006633160
176,520094123,3137339642
177,738197931,1023410426
178,251658666,3170894016
179,3607101865,3137366144
180,2147484075,3204448378
181,167772586,3170910364
182,1342177706,3187671140
183,2046820777,1006633136
184,2684354985,3137339392
185,4211081641,32827
186,3707765162,1040187642
187,2315256233,3170893952
188,3305111978,3137357952
189,872415658,3204448378
190,2449473963,3170893936
191,1946157482,1006633104
192,2550137259,3137364096
193,520094123,3204448506
194,1325400491,1023410298
195,989856170,3187671124
196,2214592939,1006651520
197,3758096811,3204448506
198,1811939754,3170893946
199,2382365099,1023410272
200,234881450,1006633152
201,4060086699,3137382528
202,1862271402,3204481211
203,2516582826,1040203932
204,2516582826,3187671174
205,503316906,1006653568
206,872415659,3204448506
207,369099178,3170910364
208,2499805610,1040187504
209,3439329707,1006633112
210,1124073898,3137360000
211,2583691690,3204448506
212,1006633386,1023410298
213,3724542377,3187671144
214,3808428458,1006659712
215,1342177705,3204464796
216,1090519466,3187687452
217,1107296683,1056964728
218,1090519466,1006633152
219,2231370155,3137368192
220,33554858,3204448256
221,3137339819,32827
222,335544747,3187671136
223,1191182762,1006665856
224,4194304427,3204481083
225,687866283,3187671162
226,1728053675,1040187488
227,83886506,1006633160
228,1426063787,3137382528
229,570425770,3204481083
230,4278190506,3187703867
231,4110418347,3187671156
232,1778385323,1006653568
233,2248147371,3204497626
234,1744830891,3187671162
235,3053453739,3170893904
236,1912603051,1006633136
237,1459618220,3137390720
238,603980203,3204448378
239,3388998059,1040187642
240,2415919531,3170893924
241,2164261291,1006663808
242,3087008171,3204464796
243,3439329708,1040187514
244,1040187819,3170893944
245,1862271403,1006659712
246,2281701804,3204448378
247,2281701803,3170926651
248,134218156,1040187504
249,1778385323,1006633152
250,2046820779,3137370240
251,1459618220,3204481083
252,486539691,1040220219
253,3959423404,3187671144
254,352321964,1006661760
255,603980204,3204448378
256,3321889195,3170893946
257,3657433515,1023410272
258,1795162538,1006633168
259,2852127146,3137364096
260,2113929642,3204448378
261,2181038507,1040187514
262,67109291,3170893928
263,184549802,1006655616
264,2499805610,3204448506
265,3959423402,3170893946
266,3909091755,1040187526
267,2785018283,1006633088
268,603980203,3137372288
269,234881451,3204481211
270,335544746,1040187642
271,1694499242,3170893920
272,2717909418,1006674048
273,1191182762,3204448506
274,3640656299,3170926779
275,2717909418,1040187500
276,3741319594,1006633144
