Sample,Sensor1,Sensor2
0,0,141058
1,0,141024
2,0,141001
3,0,0
4,0,140986
5,0,0
6,0,140982
7,0,140959
8,0,140964
9,0,140931
10,0,0
11,0,140923
12,0,140923
13,78593,140906
14,0,140907
15,0,140907
16,0,0
17,0,140906
18,0,0
19,0,0
20,0,0
21,0,0
22,0,140894
23,0,140897
24,0,0
25,78460,0
26,0,140878
27,0,140857
28,78625,0
29,78577,0
30,0,1018036224
31,0,3164209152
32,0,3212871680
33,0,3191570432
34,0,1031405568
35,0,1017249792
36,0,3165650944
37,0,3212871680
38,0,3178889216
39,0,1039794176
40,0,1018036224
41,0,3165126656
42,0,3212869632
43,0,3178889216
44,122216,1050427392
45,122275,1020002304
46,0,3165913088
47,0,3212873728
48,122123,3187277824
49,122020,1050427392
50,0,1018167296
51,0,3165782016
52,0,3212879872
53,141112,3178889216
54,0,1039794176
